17450|hyperbeam|0.45938255632359537
10404|earthquake|0.4493951317739687
16994|psychic|0.43148787917444587
1836|razorleaf|0.4089272634676536
648|crabhammer|0.40869820474561697
876|flamethrower|0.40751755363872477
5990|fireblast|0.39929358171396195
2637|hydropump|0.3956862611861723
13306|surf|0.3729127179823341
654|highjumpkick|0.3705553964059288
12963|thunderbolt|0.34454240483084136
16699|blizzard|0.34389185697705316
1953|drillpeck|0.33023583760002484
1725|icebeam|0.30593004546070685
694|sludge|0.3054997300368433
1910|thunder|0.30491113216557497
810|nightshade|0.2941686692169155
4164|rockslide|0.26486760737124226
2647|slash|0.25877327286823565
5314|seismictoss|0.18065975262301381
24239|bodyslam|0.17162960771410063
185|selfdestruct|0.16975269499630535
200|triattack|0.13311332019348746
2607|submission|0.13023070747361778
4648|doubleedge|0.12281007863010368
4517|megadrain|0.1165157036916941
35|eggbomb|0.10651021597627798
2242|explosion|0.07819061116443696
2089|counter|0.06816132366624489
294|twineedle|0.05639743939596208
78|megakick|-0.008186734392622696
259|psywave|-0.020586268009684463
929|skyattack|-0.03011478292864917
661|substitute|-0.04598107452889637
2452|rest|-0.0628486001369323
1123|softboiled|-0.08813781527046984
583|bubblebeam|-0.14118856031204072
2391|recover|-0.14364349788962966
196|smokescreen|-0.14866622904047655
447|lovelykiss|-0.15933882533226806
1905|hypnosis|-0.16733208854657944
795|sing|-0.17969461704257256
560|spore|-0.18308567210797497
528|barrier|-0.18472843908762113
2677|sleeppowder|-0.18664723695479857
515|quickattack|-0.1929745192683187
1446|confuseray|-0.1954952695503383
109|sandattack|-0.20199674573707607
2513|amnesia|-0.23754077051884454
460|superfang|-0.24038665612244906
1396|tackle|-0.24540023877904557
139|growth|-0.2480993394986325
486|harden|-0.2756100871245718
1943|stunspore|-0.2864530594010167
503|transform|-0.29170816911552316
216|doublekick|-0.29361586025849423
32|bide|-0.29900790736388566
1968|reflect|-0.30474375684534016
497|poisonsting|-0.30663988218805993
8387|thunderwave|-0.31016407966578113
473|mimic|-0.3107107013573069
110|screech|-0.31514230769230767
4380|swordsdance|-0.3245819229338072
374|splash|-0.3332643835340898
354|toxic|-0.3523172093206283
110|pinmissile|-0.36196056684511096
41|tailwhip|-0.4122643611856971
1290|stringshot|-0.4214268034403385
3489|agility|-0.44291266189116685
40|mirrormove|-0.44857972463772244
302|glare|-0.4510374768933979
18|leer|-0.5191558872305142
130|meditate|-0.567189034122372
56559|none|-0.6930586032137082
