14544|hyperbeam|0.4566736592969452
13690|psychic|0.43085168526117823
629|highjumpkick|0.40997518877008254
9484|earthquake|0.4080561497049384
2389|razorleaf|0.38073555243921264
2336|hydropump|0.37414314824602135
5995|fireblast|0.36249819244428794
10862|surf|0.35650707460654585
612|crabhammer|0.35244659811175133
1342|drillpeck|0.3414083832479477
19450|blizzard|0.33793012930162447
13534|thunderbolt|0.3301657200681403
1750|icebeam|0.3150672852318643
1864|thunder|0.3104095173864311
799|sludge|0.2847414933697603
643|nightshade|0.2754121703004721
883|flamethrower|0.27189876365329124
3183|slash|0.24953964968766085
4416|rockslide|0.2269834315697888
27326|bodyslam|0.19871412273157849
6546|seismictoss|0.1813881890657987
5964|doubleedge|0.1707376338923044
157|selfdestruct|0.12539511535517875
2683|submission|0.12423890916154476
60|eggbomb|0.11610592984337594
5850|megadrain|0.10967685356944315
512|psywave|0.09974876613932308
149|triattack|0.08824680307728379
2659|explosion|0.07587110136929001
4038|counter|0.06425345305513397
1166|skyattack|0.056511497730315385
29|struggle|0.05323354614632272
217|megakick|0.05256609117462425
1827|substitute|-0.02424315462418819
4617|rest|-0.05722483416549973
6799|hypnosis|-0.059071198433566396
2480|transform|-0.05929445579603555
1433|softboiled|-0.0679337732740082
536|smokescreen|-0.07741868246342347
3591|recover|-0.08037777293069687
264|twineedle|-0.08224923805817133
958|quickattack|-0.08360317990376119
2800|sing|-0.08405059867813763
491|sandattack|-0.08833661034433915
858|bubblebeam|-0.09591926503119298
608|doublekick|-0.10701960482627985
482|growth|-0.11218772194294449
1782|tackle|-0.12567397131369779
3733|sleeppowder|-0.12612030961125145
664|spore|-0.13373491553418093
943|poisonsting|-0.14961746536896137
472|harden|-0.15635278450231244
634|superfang|-0.1598773722106778
543|lovelykiss|-0.1613909616744378
371|barrier|-0.16270374864009762
1882|confuseray|-0.17316459755338579
3146|amnesia|-0.1804675461174116
3048|stunspore|-0.19352597849829348
26|bide|-0.22310479375696762
3047|reflect|-0.22703056252791134
271|mirrormove|-0.2489548346659666
5321|swordsdance|-0.25793827495228816
9109|thunderwave|-0.26100781780774723
108|tailwhip|-0.26192046055888424
182|pinmissile|-0.2641977027843993
265|screech|-0.27133389303883054
2077|stringshot|-0.28311084055849844
600|mimic|-0.2848629450774777
762|toxic|-0.3099939891492659
545|splash|-0.31391665554886855
363|glare|-0.3284057279728422
4970|agility|-0.3452827003468857
189|meditate|-0.36506654046716663
67729|none|-0.5415770440374593
23|leer|-0.562608695652174
