7479|hyperbeam|0.46572473179015733
7566|psychic|0.4346183281982874
5784|earthquake|0.40673449012541446
298|highjumpkick|0.4057292334238965
1348|hydropump|0.39302753632646203
3042|fireblast|0.38695914804166837
336|crabhammer|0.3776254531833729
792|icebeam|0.36354121226942304
1315|razorleaf|0.35931300023574586
6285|surf|0.34963447332107567
7212|thunderbolt|0.33828143374756675
354|flamethrower|0.3376572260455322
10430|blizzard|0.3145954205097138
801|drillpeck|0.3119583753665329
99|triattack|0.30202403914914877
1065|thunder|0.2998000313202126
328|nightshade|0.28854995350253804
1874|slash|0.2593801509123649
500|sludge|0.2288190096521702
2512|rockslide|0.20331628283467157
15070|bodyslam|0.19568239718142008
3196|seismictoss|0.18044980879034273
12|struggle|0.15974291851255196
80|selfdestruct|0.15610485546434155
150|megakick|0.1531999386789544
2996|doubleedge|0.1528482373940341
1407|submission|0.15223829930617247
3384|megadrain|0.12310159896747366
629|skyattack|0.11393600295924512
1391|explosion|0.09370704855309545
180|twineedle|0.0793821266032417
2476|counter|0.07102808733328182
357|psywave|0.029935855117992047
680|substitute|-0.018226258656179266
4153|rest|-0.03256633411920822
1013|softboiled|-0.05915790776214509
3026|hypnosis|-0.0624653396323369
480|bubblebeam|-0.06683913331828176
2131|recover|-0.07898156007188656
11|eggbomb|-0.09506727445716989
424|smokescreen|-0.0962063319884652
1227|confuseray|-0.09984868136158967
364|sandattack|-0.10170361495470734
449|quickattack|-0.10573684791271931
1089|sing|-0.10715535631719325
329|spore|-0.11162703721633711
1905|sleeppowder|-0.11902135692726643
295|growth|-0.132395139741326
353|poisonsting|-0.13594320180300729
903|tackle|-0.14837715402551752
297|doublekick|-0.15964742770827448
286|lovelykiss|-0.16629004183589347
301|harden|-0.1852774363708523
1801|stunspore|-0.1942592893402526
388|superfang|-0.19863121408755155
1659|amnesia|-0.2056637318878537
276|barrier|-0.20669227006384452
88|tailwhip|-0.21372848731884056
3054|swordsdance|-0.2340462147396284
1669|reflect|-0.2544610508105258
125|mirrormove|-0.25463069699885854
4723|thunderwave|-0.27263399667847416
291|transform|-0.2777329155672065
246|glare|-0.2786530871213595
310|mimic|-0.28044999343537524
1122|stringshot|-0.2852160057532152
501|toxic|-0.2990467223506588
304|splash|-0.3103310267073431
128|pinmissile|-0.31533601558653995
200|screech|-0.315713850005949
52|leer|-0.32303121516164995
2897|agility|-0.33209813428678775
32|bide|-0.3754528985507246
108|meditate|-0.4417570300492913
35476|none|-0.5607540722714575
